Input.sentence0,Input.question0,Input.Q0-Name1,Input.Q0-Name2,Input.sentence1,Input.question1,Input.Q1-Name1,Input.Q1-Name2,Input.sentence2,Input.question2,Input.Q2-Name1,Input.Q2-Name2,Input.sentence3,Input.question3,Input.Q3-Name1,Input.Q3-Name2,Input.sentence4,Input.question4,Input.Q4-Name1,Input.Q4-Name2,Input.sentence5,Input.question5,Input.Q5-Name1,Input.Q5-Name2,Input.sentence6,Input.question6,Input.Q6-Name1,Input.Q6-Name2,Input.sentence7,Input.question7,Input.Q7-Name1,Input.Q7-Name2,Input.sentence8,Input.question8,Input.Q8-Name1,Input.Q8-Name2,Input.sentence9,Input.question9,Input.Q9-Name1,Input.Q9-Name2,Answer.Q0,Answer.Q1,Answer.Q2,Answer.Q3,Answer.Q4,Answer.Q5,Answer.Q6,Answer.Q7,Answer.Q8,Answer.Q9,Answer.native
"Matthew bought Joshua a pizza after he asked for more food.
",Who asked for more food?,Matthew,Joshua,"Matthew baked Joshua a cake before he asked for one.
",Who asked for one?,Matthew,Joshua,"Melissa told Jennifer that the father-in-law negotiated with her.
",Who did the father-in-law negotiate with?,Melissa,Jennifer,"Kimberly told the aunt that she baffled the granddaughter.
",Who baffled the granddaughter?,Kimberly,the aunt,"Matthew was emailed by Joshua because he is leaving town next week.
",Who is leaving town next week?,Matthew,Joshua,"Matthew told Joshua that the client bored him.
",Who did the client bore?,Matthew,Joshua,"Matthew showed Joshua the edited video before he asked to view the original version.
",Who asked to view the original version?,Matthew,Joshua,"Matthew was sent a message by Joshua because he is traveling abroad tomorrow.
",Who is traveling abroad tomorrow?,Matthew,Joshua,"The sister-in-law showed Amanda an example picture before she told the truth.
",Who told the truth?,the sister-in-law,Amanda,"The sister-in-law was asked one more question by Amanda before she ran to the largest airport in the area.
",Who ran to the largest airport in the area?,the sister-in-law,Amanda,prob-Q0-Name2,prob-Q1-Name2,prob-Q2-Name1,prob-Q3-Name2,prob-Q4-Name2,def-Q5-Name1,def-Q6-Name2,prob-Q7-Name2,prob-Q8-Name2,prob-Q9-Name1,yes
"Matthew bought Joshua a pizza after he asked for more food.
",Who asked for more food?,Matthew,Joshua,"Matthew baked Joshua a cake before he asked for one.
",Who asked for one?,Matthew,Joshua,"Melissa told Jennifer that the father-in-law negotiated with her.
",Who did the father-in-law negotiate with?,Melissa,Jennifer,"Kimberly told the aunt that she baffled the granddaughter.
",Who baffled the granddaughter?,Kimberly,the aunt,"Matthew was emailed by Joshua because he is leaving town next week.
",Who is leaving town next week?,Matthew,Joshua,"Matthew told Joshua that the client bored him.
",Who did the client bore?,Matthew,Joshua,"Matthew showed Joshua the edited video before he asked to view the original version.
",Who asked to view the original version?,Matthew,Joshua,"Matthew was sent a message by Joshua because he is traveling abroad tomorrow.
",Who is traveling abroad tomorrow?,Matthew,Joshua,"The sister-in-law showed Amanda an example picture before she told the truth.
",Who told the truth?,the sister-in-law,Amanda,"The sister-in-law was asked one more question by Amanda before she ran to the largest airport in the area.
",Who ran to the largest airport in the area?,the sister-in-law,Amanda,prob-Q0-Name1,prob-Q1-Name1,prob-Q2-Name1,prob-Q3-Name2,def-Q4-Name1,def-Q5-Name2,prob-Q6-Name2,prob-Q7-Name1,prob-Q8-Name2,$def-Q9-Name1,yes
"The sister-in-law called Amanda because she is flying abroad soon.
",Who is flying abroad soon?,the sister-in-law,Amanda,"Matthew was emailed by Joshua because he has an important interview tomorrow.
",Who has an important interview tomorrow?,Matthew,Joshua,"Matthew told Joshua that he rewarded the client.
",Who rewarded the client?,Matthew,Joshua,"Kimberly told the aunt that the granddaughter pitied her.
",Who did the granddaughter pity?,Kimberly,the aunt,"The sister-in-law contacted Amanda because she is leaving the town soon.
",Who is leaving the town soon?,the sister-in-law,Amanda,"The sister-in-law told Amanda that the client distracted her.
",Who did the client distract?,the sister-in-law,Amanda,"William told Joshua that the saleswoman visited him.
",Who did the saleswoman visit?,William,Joshua,"Melissa was told by Jennifer that the father-in-law negotiated with her.
",Who did the father-in-law negotiate with?,Melissa,Jennifer,"William told Joshua that he explained to the saleswoman.
",Who explained to the saleswoman?,William,Joshua,"Matthew told Joshua that he offended the client.
",Who offended the client?,Matthew,Joshua,prob-Q0-Name1,prob-Q1-Name2,def-Q2-Name1,prob-Q3-Name2,prob-Q4-Name1,def-Q5-Name1,def-Q6-Name1,def-Q7-Name2,def-Q8-Name1,prob-Q9-Name2,yes
"The sister-in-law called Amanda because she is flying abroad soon.
",Who is flying abroad soon?,the sister-in-law,Amanda,"Matthew was emailed by Joshua because he has an important interview tomorrow.
",Who has an important interview tomorrow?,Matthew,Joshua,"Matthew told Joshua that he rewarded the client.
",Who rewarded the client?,Matthew,Joshua,"Kimberly told the aunt that the granddaughter pitied her.
",Who did the granddaughter pity?,Kimberly,the aunt,"The sister-in-law contacted Amanda because she is leaving the town soon.
",Who is leaving the town soon?,the sister-in-law,Amanda,"The sister-in-law told Amanda that the client distracted her.
",Who did the client distract?,the sister-in-law,Amanda,"William told Joshua that the saleswoman visited him.
",Who did the saleswoman visit?,William,Joshua,"Melissa was told by Jennifer that the father-in-law negotiated with her.
",Who did the father-in-law negotiate with?,Melissa,Jennifer,"William told Joshua that he explained to the saleswoman.
",Who explained to the saleswoman?,William,Joshua,"Matthew told Joshua that he offended the client.
",Who offended the client?,Matthew,Joshua,Ambiguous,prob-Q1-Name1,def-Q2-Name1,prob-Q3-Name2,prob-Q4-Name1,def-Q5-Name1,def-Q6-Name1,prob-Q7-Name2,def-Q8-Name1,prob-Q9-Name2,yes
"The sister-in-law called Amanda because she is flying abroad soon.
",Who is flying abroad soon?,the sister-in-law,Amanda,"Matthew was emailed by Joshua because he has an important interview tomorrow.
",Who has an important interview tomorrow?,Matthew,Joshua,"Matthew told Joshua that he rewarded the client.
",Who rewarded the client?,Matthew,Joshua,"Kimberly told the aunt that the granddaughter pitied her.
",Who did the granddaughter pity?,Kimberly,the aunt,"The sister-in-law contacted Amanda because she is leaving the town soon.
",Who is leaving the town soon?,the sister-in-law,Amanda,"The sister-in-law told Amanda that the client distracted her.
",Who did the client distract?,the sister-in-law,Amanda,"William told Joshua that the saleswoman visited him.
",Who did the saleswoman visit?,William,Joshua,"Melissa was told by Jennifer that the father-in-law negotiated with her.
",Who did the father-in-law negotiate with?,Melissa,Jennifer,"William told Joshua that he explained to the saleswoman.
",Who explained to the saleswoman?,William,Joshua,"Matthew told Joshua that he offended the client.
",Who offended the client?,Matthew,Joshua,def-Q0-Name1,def-Q1-Name2,def-Q2-Name1,prob-Q3-Name2,def-Q4-Name1,def-Q5-Name1,def-Q6-Name1,def-Q7-Name2,def-Q8-Name1,prob-Q9-Name2,yes
"The sister-in-law was shown an elegant hat by Amanda before she asked about the price.
",Who asked about the price?,the sister-in-law,Amanda,"The sister-in-law was contacted by Amanda because she is leaving town next week.
",Who is leaving town next week?,the sister-in-law,Amanda,"The sister-in-law texted Amanda because she is moving abroad soon.
",Who is moving abroad soon?,the sister-in-law,Amanda,"Matthew was baked some more cookies by Joshua after he finished dinner.
",Who finished dinner?,Matthew,Joshua,"Melissa told Jennifer that the father-in-law terrified her.
",Who did the father-in-law terrify?,Melissa,Jennifer,"Kimberly was told by the aunt that she greeted the granddaughter.
",Who greeted the granddaughter?,Kimberly,the aunt,"The sister-in-law texted Amanda because she wanted to share some updates.
",Who wanted to share some updates?,the sister-in-law,Amanda,"The sister-in-law told Amanda that the client envied her.
",Who did the client envy?,the sister-in-law,Amanda,"The sister-in-law left a note for Amanda because she wanted to get some clarification.
",Who wanted to get some clarification?,the sister-in-law,Amanda,"The sister-in-law sent Amanda some roses before she left the celebration.
",Who left the celebration?,the sister-in-law,Amanda,prob-Q0-Name1,prob-Q1-Name1,prob-Q2-Name2,def-Q3-Name1,Ambiguous,prob-Q5-Name2,def-Q6-Name1,Ambiguous,Ambiguous,prob-Q9-Name1,yes
"The sister-in-law was shown an elegant hat by Amanda before she asked about the price.
",Who asked about the price?,the sister-in-law,Amanda,"The sister-in-law was contacted by Amanda because she is leaving town next week.
",Who is leaving town next week?,the sister-in-law,Amanda,"The sister-in-law texted Amanda because she is moving abroad soon.
",Who is moving abroad soon?,the sister-in-law,Amanda,"Matthew was baked some more cookies by Joshua after he finished dinner.
",Who finished dinner?,Matthew,Joshua,"Melissa told Jennifer that the father-in-law terrified her.
",Who did the father-in-law terrify?,Melissa,Jennifer,"Kimberly was told by the aunt that she greeted the granddaughter.
",Who greeted the granddaughter?,Kimberly,the aunt,"The sister-in-law texted Amanda because she wanted to share some updates.
",Who wanted to share some updates?,the sister-in-law,Amanda,"The sister-in-law told Amanda that the client envied her.
",Who did the client envy?,the sister-in-law,Amanda,"The sister-in-law left a note for Amanda because she wanted to get some clarification.
",Who wanted to get some clarification?,the sister-in-law,Amanda,"The sister-in-law sent Amanda some roses before she left the celebration.
",Who left the celebration?,the sister-in-law,Amanda,def-Q0-Name1,prob-Q1-Name2,prob-Q2-Name1,prob-Q3-Name2,def-Q4-Name1,def-Q5-Name2,def-Q6-Name1,prob-Q7-Name2,prob-Q8-Name1,prob-Q9-Name1,yes
"The sister-in-law was shown an elegant hat by Amanda before she asked about the price.
",Who asked about the price?,the sister-in-law,Amanda,"The sister-in-law was contacted by Amanda because she is leaving town next week.
",Who is leaving town next week?,the sister-in-law,Amanda,"The sister-in-law texted Amanda because she is moving abroad soon.
",Who is moving abroad soon?,the sister-in-law,Amanda,"Matthew was baked some more cookies by Joshua after he finished dinner.
",Who finished dinner?,Matthew,Joshua,"Melissa told Jennifer that the father-in-law terrified her.
",Who did the father-in-law terrify?,Melissa,Jennifer,"Kimberly was told by the aunt that she greeted the granddaughter.
",Who greeted the granddaughter?,Kimberly,the aunt,"The sister-in-law texted Amanda because she wanted to share some updates.
",Who wanted to share some updates?,the sister-in-law,Amanda,"The sister-in-law told Amanda that the client envied her.
",Who did the client envy?,the sister-in-law,Amanda,"The sister-in-law left a note for Amanda because she wanted to get some clarification.
",Who wanted to get some clarification?,the sister-in-law,Amanda,"The sister-in-law sent Amanda some roses before she left the celebration.
",Who left the celebration?,the sister-in-law,Amanda,def-Q0-Name1,def-Q1-Name1,def-Q2-Name1,def-Q3-Name1,def-Q4-Name1,def-Q5-Name2,def-Q6-Name1,def-Q7-Name1,def-Q8-Name1,$def-Q9-Name1,yes
"William told Joshua that he enticed the saleswoman.
",Who enticed the saleswoman?,William,Joshua,"Matthew sent a message to Joshua because he wanted to apologize.
",Who wanted to apologize?,Matthew,Joshua,"William told Joshua that the saleswoman irritated him.
",Who did the saleswoman irritate?,William,Joshua,"William was told by Joshua that the saleswoman misinterpreted him.
",Who did the saleswoman misinterpret?,William,Joshua,"Melissa was told by Jennifer that she guided the father-in-law.
",Who guided the father-in-law?,Melissa,Jennifer,"Matthew was told by Joshua that he spooked the client.
",Who spooked the client?,Matthew,Joshua,"The sister-in-law was called by Amanda because she was looking for suggestions.
",Who was looking for suggestions?,the sister-in-law,Amanda,"Matthew told Joshua that he perturbed the client.
",Who perturbed the client?,Matthew,Joshua,"The sister-in-law sent Amanda a message before she reached the library.
",Who reached the library?,the sister-in-law,Amanda,"Matthew was sung a short piece by Joshua before he encouraged him to sing more.
",Who encouraged him to sing more?,Matthew,Joshua,prob-Q0-Name1,Ambiguous,prob-Q2-Name2,prob-Q3-Name1,prob-Q4-Name1,prob-Q5-Name2,prob-Q6-Name1,prob-Q7-Name2,prob-Q8-Name2,prob-Q9-Name1,yes
"William told Joshua that he enticed the saleswoman.
",Who enticed the saleswoman?,William,Joshua,"Matthew sent a message to Joshua because he wanted to apologize.
",Who wanted to apologize?,Matthew,Joshua,"William told Joshua that the saleswoman irritated him.
",Who did the saleswoman irritate?,William,Joshua,"William was told by Joshua that the saleswoman misinterpreted him.
",Who did the saleswoman misinterpret?,William,Joshua,"Melissa was told by Jennifer that she guided the father-in-law.
",Who guided the father-in-law?,Melissa,Jennifer,"Matthew was told by Joshua that he spooked the client.
",Who spooked the client?,Matthew,Joshua,"The sister-in-law was called by Amanda because she was looking for suggestions.
",Who was looking for suggestions?,the sister-in-law,Amanda,"Matthew told Joshua that he perturbed the client.
",Who perturbed the client?,Matthew,Joshua,"The sister-in-law sent Amanda a message before she reached the library.
",Who reached the library?,the sister-in-law,Amanda,"Matthew was sung a short piece by Joshua before he encouraged him to sing more.
",Who encouraged him to sing more?,Matthew,Joshua,def-Q0-Name1,def-Q1-Name1,def-Q2-Name1,def-Q3-Name2,def-Q4-Name2,def-Q5-Name2,def-Q6-Name2,def-Q7-Name1,def-Q8-Name1,def-Q9-Name2,yes
